Symbol,Name,Price,Market Cap,Sector,Industry,Rev Growth,Gross Margin,ROIC,EPS TTM,Forward EPS,P/B,5Y Avg P/E,20M MA,Monthly Closes,Quarterly EPS,EPS YoY Growth,Revenue YoY Growth,Previous EPS TTM,Consecutive Growth
4104.TW,佳醫健康事業股份有限公司,70.1,13204558848.0,22,Unknown,0.09,0.21325755731214863,0.05795104348277916,,,,,,[],"[null, null, null, null]",,0.09,,0
4106.TW,雃博股份有限公司,24.4,2462243072.0,22,Unknown,0.048,0.4590035818680615,0.08258944835326262,,,,,,[],"[null, null, null, null]",,0.048,,0
4108.TW,懷特生技新藥股份有限公司,12.4,2462875648.0,22,Unknown,0.13,0.30683034121983116,-0.07299123746258712,,,,,,[],"[null, null, null, null]",,0.13,,0
4119.TW,旭富製藥科技股份有限公司,40.8,4875952128.0,22,Unknown,0.043,0.2612337391718513,0.026754804960299926,,,,,,[],"[null, null, null, null]",,0.043,,0
4133.TW,亞諾法生技股份有限公司,21.05,1274661632.0,22,Unknown,-0.029000000000000005,0.4435281626193072,0.019084948715992967,,,,,,[],"[null, null, null, null]",,-0.029000000000000005,,0
4137.TW,麗豐股份有限公司,103.0,8496712192.0,22,Unknown,0.151,0.8208929245994551,0.09558111018334463,,,,,,[],"[null, null, null, null]",,0.151,,0
4142.TW,國光生物科技股份有限公司,17.15,7228861952.0,22,Unknown,0.368,0.20584145141530402,-0.0410505907282496,,,,,,[],"[null, null, null, null]",,0.368,,0
4148.TW,全宇生技控股有限公司,30.3,2037250688.0,22,Unknown,-0.037,0.28126942380578246,0.21761453846884643,,,,,,[],"[null, null, null, null]",,-0.037,,0
4155.TW,訊映光電股份有限公司,14.8,2086711168.0,22,Unknown,-0.069,0.275815960341709,0.0424549573492491,,,,,,[],"[null, null, null, null]",,-0.069,,0
4164.TW,承業生醫投資控股股份有限公司,28.1,5488239616.0,22,Unknown,0.152,0.24645775377948767,0.04026080680839977,,,,,,[],"[null, null, null, null]",,0.152,,0
4169.TW,泰宗生物科技股份有限公司,157.0,10429763584.0,22,Unknown,0.0,0.4608012065888873,-0.0006629114341336561,,,,,,[],"[null, null, null, null]",,0.0,,0
4178.TW,永笙生技股份有限公司,18.65,4004248064.0,22,Unknown,-0.113,0.29700724054706357,-0.10432580820778722,,,,,,[],"[null, null, null, null]",,-0.113,,0
4190.TW,佐登妮絲集團股份有限公司,24.4,1450433536.0,22,Unknown,-0.08900000000000001,0.6414541155992023,-0.014981093061863675,,,,,,[],"[null, null, null, null]",,-0.08900000000000001,,0
4195.TW,基龍米克斯生物科技股份有限公司,16.55,1324000896.0,22,Unknown,0.247,0.26329383096180825,-0.06324206473999283,,,,,,[],"[null, null, null, null]",,0.247,,0
4306.TW,炎洲股份有限公司,14.05,9244422144.0,03,Unknown,0.091,0.1529595908429261,0.019459830136939645,,,,,,[],"[null, null, null, null]",,0.091,,0
4414.TW,如興股份有限公司,7.84,2068158976.0,04,Unknown,-0.081,0.19663161752895522,0.0879649619212087,,,,,,[],"[null, null, null, null]",,-0.081,,0
4426.TW,利勤實業股份有限公司,7.82,1350336512.0,04,Unknown,-0.06,-0.18514327096396319,-0.11772995287968428,,,,,,[],"[null, null, null, null]",,-0.06,,0
4438.TW,廣越企業股份有限公司,61.0,6872958976.0,04,Unknown,0.007000000000000001,0.11031815372237191,-0.0008734482668793335,,,,,,[],"[null, null, null, null]",,0.007000000000000001,,0
4439.TW,冠星集團控股有限公司,92.6,3483164160.0,04,Unknown,0.021,0.17929807375123702,0.09380202094211822,,,,,,[],"[null, null, null, null]",,0.021,,0
4440.TW,宜新實業股份有限公司,17.75,1199864448.0,04,Unknown,0.298,0.11825441880518538,0.04204531724941097,,,,,,[],"[null, null, null, null]",,0.298,,0
4441.TW,振大環球股份有限公司,203.0,13839727616.0,04,Unknown,0.252,0.23059483889097662,0.0867275050979667,,,,,,[],"[null, null, null]",,0.252,,0
4526.TW,東台精機股份有限公司,38.95,9808662528.0,05,Unknown,-0.292,0.15776871750494714,-0.04252235436084619,,,,,,[],"[null, null, null, null]",,-0.292,,0
4532.TW,瑞智精密股份有限公司,23.75,11546183680.0,05,Unknown,-0.08900000000000001,0.166607047666106,0.07744859970472377,,,,,,[],"[null, null, null, null]",,-0.08900000000000001,,0
4536.TW,拓凱實業股份有限公司,160.5,14576610304.0,37,Unknown,-0.297,0.3531193986952678,0.16127802580696757,,,,,,[],"[null, null, null, null]",,-0.297,,0
