Symbol,Name,Price,Market Cap,Sector,Industry,Score,Status,Fail Codes,Rev Growth,Gross Margin,ROIC,Insider Own,PEG,Z-Score
AEMD,"Aethlon Medical, Inc.",2.2,2893242.0,Healthcare,Unknown,30,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_INSIDER",0.0,0.0,0.0,0.02359,100.0,-36.51179718029625
CAAS,"China Automotive Systems, Inc.",4.2821,129193968.0,Consumer Cyclical,Unknown,70,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_ROIC",0.177,0.16620001,0.08633090630543556,0.64765,0.21795185310734463,1.7957276408032024
BXMT,"Blackstone Mortgage Trust, Inc.",19.1,3222908160.0,Real Estate,Unknown,50,Fail,"FAIL_MCAP,FAIL_ROIC,FAIL_PS,FAIL_FLOAT,FAIL_INSIDER",0.494,1.0,0.05551869473422535,0.01204,0.6041245344129554,3.0
TSBK,"Timberland Bancorp, Inc.",38.01,299683232.0,Financial Services,Unknown,50,Fail,"FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_PS,FAIL_INSIDER",0.107,0.0,1.5687552960849682,0.07041,0.9226847663551402,3.0
PLTS,Platinum Analytics Cayman Limited,17.5,316034432.0,Technology,Unknown,70,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_PS",-0.777,0.64542997,-0.6859547303503007,0.3266,-22.52252252252252,172.94051087829533
FCNCA,"First Citizens BancShares, Inc.",1799.07,22069606400.0,Financial Services,Unknown,50,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_PEG",0.062,0.0,0.15607895047768044,0.24403,1.7560672580645162,3.0
JMG,JM Group Limited,6.61,134265632.0,Consumer Cyclical,Unknown,90,Fail,FAIL_GM,0.324,0.14175001,8.962367351335391,0.40172002,1.3600822839506173,2.8934409737362277
STAA,STAAR Surgical Company,18.73,927373760.0,Healthcare,Unknown,50,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_INSIDER",0.181,0.76185,-0.19587978327881964,0.00495,5.52486187845304,5.5576528083094985
DARE,"Daré Bioscience, Inc.",1.425,20362150.0,Healthcare,Unknown,50,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_INSIDER",-0.946,0.0,0.0,0.087340005,-1.0570824524312896,-14.341998578560835
GPK,Graphic Packaging Holding Company,9.545,2822846976.0,Consumer Cyclical,Unknown,20,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.004,0.18719,0.07006278488161821,0.0095999995,16.12331,1.4183884337353665
ASTE,"Astec Industries, Inc.",53.89,1234070272.0,Industrials,Unknown,40,Fail,"FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PEG,FAIL_INSIDER",0.116,0.26539,0.05463438885978286,0.01053,2.7652913793103444,3.2951904333335835
